userA,userB,score
duane,bbbyy,0.0657774
gca00631,sinple,0.0656988
ko910493,EZILI,0.0656799
moprince,badboyman,0.0655738
lucaswhite,moprince,0.0655738
edcqaz,moprince,0.0655738
cyndimax,moprince,0.0655738
alice9031,moprince,0.0655738
cp109,kazeki,0.0652976
Verola,frice,0.0652493
NWAHSEF,redsuck,0.0652174
kuoly1,crusoe,0.0651731
cn12242,chehsien    ,0.0650406
Vinnie0605,Cervelo1995,0.0650228
yfefey,kevin31a2,0.0649767
Shigeru777,YSJ543,0.0648855
cn12242,cp109,0.0647632
Towlie,sowhat7511,0.0647482
Vinnie0605,bbbyy,0.0647359
michael2341,wty,0.0645995
msn13141314,sowhat7511,0.0645896
cocoken,cccooler,0.0645161
hadeshell,jo3pcafe,0.0644295
klm,msn13141314,0.0644122
balanceCIH,Towlie,0.0643743
cafeole,Cervelo1995,0.064354
matrix4096,chehsien    ,0.0643432
ticketwoon,Xavier114,0.0641588
cn12242,yofa,0.0641026
hadeshell,yofa,0.0640569
duane,frice,0.0639313
cocoken,ccpz,0.0638298
crusoe,gca00631,0.0638122
EZILI,sinple,0.0637899
cn12242,funkie,0.0637213
funkie,Xavier114,0.0636188
klm,Depend1227,0.0635697
ko910493,msn13141314,0.0635279
Depend1227,sowhat7511,0.0634835
laker020,kazeki,0.0634299
ko910493,yfefey,0.0634111
cn12242,cafeole,0.0633914
BRANDIO,wty,0.0632911
matrix4096,yofa,0.0631769
kirakira520,Cervelo1995,0.0631499
Verola,EZILI,0.0631313
yfefey,ticketwoon,0.0630473
ko910493,sowhat7511,0.062986
hadeshell,Shigeru777,0.0628931
kuoly1,Xavier114,0.0628543
cn12242,NWAHSEF,0.0628492
power1849e,moprince,0.0628272
ccpz,gogodddd,0.0627844
Verola,ticketwoon,0.0627695
wty,SeaWolf,0.0626305
zxcvbn208,crusoe,0.0625
ycb401,crusoe,0.0625
wangman,crusoe,0.0625
thebest5566,doremido,0.0625
sunglasses,doremido,0.0625
sunglasses,crusoe,0.0625
jo3pcafe,frice,0.0625
jiajiaWeng,crusoe,0.0625
fleeaaa,Shigeru777,0.0625
eject5566,crusoe,0.0625
doremido,sinceremusic,0.0625
doremido,myanko,0.0625
cyndimax,doremido,0.0625
balanceCIH,moprince,0.0624385
Vinnie0605,SeaWolf,0.06238
cp109,balanceCIH,0.0622824
matrix4096,gn02519719,0.0621797
matrix4096,Depend1227,0.0621797
Puppy0919,Cervelo1995,0.0621443
ticketwoon,GV13,0.0620985
hertzianwave,cp109,0.0618557
NWAHSEF,Allenguy,0.0618557
cdpicker,GV13,0.0617995
vaude,Puppy0919,0.0617577
wty,crusoe,0.0617284
cafeole,wty,0.0617284
godswd,frice,0.0616485
godswd,bbbyy,0.0615861
Vinnie0605,EZILI,0.0613208
cdpicker,yofa,0.0612691
ko910493,GV13,0.0611664
devil0915,eject5566,0.0609756
devil0915,answer1115,0.0609756
cocoken,vaude,0.0609756
Shigeru777,frice,0.0609756
hadeshell,cccooler,0.0609408
jo3pcafe,kevin31a2,0.0608696
wachiapp,sinple,0.0608108
ticketwoon,Towlie,0.0608108
laker020,moprince,0.0608108
ko910493,laker020,0.0608108
jo3pcafe,sinple,0.0608108
jo3pcafe,moprince,0.0608108
ps124125288,gca00631,0.0607375
Xavier114,ccpz,0.0606419
GV13,YSJ543,0.0606061
power1849e,Handway,0.0605344
Verola,fleeaaa,0.0604534
EZILI,Handway,0.060423
cp109,cccooler,0.0603933
xul4m4vu6666,ticketwoon,0.060241
cdpicker,duane,0.0602209
Puppy0919,wty,0.0599692
redsuck,Handway,0.0599531
gn02519719,thebest5566,0.0599078
bbbyy,sinple,0.0598923
cocoken,Towlie,0.0598802
Vinnie0605,cccooler,0.0597701
power1849e,Xavier114,0.0596448
cafeole,hadeshell,0.0595968
s9899653,sowhat7511,0.059596
Vinnie0605,kevin31a2,0.0595875
YSJ543,frice,0.0595823
Shigeru777,sinple,0.0595238
Towlie,msn13141314,0.0594315
ps124125288,Shigeru777,0.0594059
wty,YSJ543,0.059399
Shigeru777,moprince,0.0592885
yofa,kevin31a2,0.0592565
funkie,klm,0.0591716
Verola,cccooler,0.0590735
cn12242,cdpicker,0.0590278
matrix4096,Vinnie0605,0.0589879
yfefey,GV13,0.0589804
cdpicker,studentkeich,0.058952
cocoken,thebest5566,0.0588235
cocoken,sunglasses,0.0588235
cocoken,hertzianwave,0.0588235
cocoken,eject5566,0.0588235
cocoken,answer1115,0.0588235
gca00631,YSJ543,0.058758
matrix4096,balanceCIH,0.0586872
vaude,cccooler,0.058651
Cervelo1995,frice,0.0585609
yfefey,EZILI,0.0585516
michael2341,Cervelo1995,0.0585354
klm,Handway,0.058532
hadeshell,msn13141314,0.0584843
Puppy0919,crusoe,0.0584145
power1849e,Depend1227,0.0583942
cccooler,redsuck,0.0583554
ko910493,Verola,0.0582686
matrix4096,frice,0.0582307
ko910493,godswd,0.0581331
fleeaaa,Cervelo1995,0.0580714
DickMartin,crusoe,0.0578335
funkie,SeaWolf,0.0578158
duane,ticketwoon,0.0577281
cdpicker,chehsien    ,0.0576923
DickMartin,gca00631,0.05768
crusoe,ccpz,0.0576271
Towlie,emou        ,0.0576132
redsuck,kazeki,0.0576077
ccpz,satoyama,0.0576037
kuoly1,kazeki,0.0575897
bbbyy,sowhat7511,0.0575504
q076262018,wty,0.0574713
gca00631,klm,0.05743
Xavier114,klm,0.0573515
cn12242,studentkeich,0.0573248
devil0915,Towlie,0.0571956
cdpicker,Handway,0.0571878
cp109,frice,0.0571571
sunglasses,cccooler,0.0571429
moprince,frice,0.0571429
cccooler,thebest5566,0.0571429
Vinnie0605,chehsien    ,0.0571429
hadeshell,bbbyy,0.0571168
kirakira520,msn13141314,0.0570776
NWAHSEF,SeaWolf,0.0570021
Vinnie0605,YSJ543,0.0569523
myanko,Cervelo1995,0.0569452
thebest5566,yofa,0.0569106
Puppy0919,SeaWolf,0.0568934
redsuck,Towlie,0.0567551
cp109,ps124125288,0.0567261
SeaWolf,moprince,0.0567164
hadeshell,frice,0.0567108
yfefey,kirakira520,0.056701
Vinnie0605,Xavier114,0.0566978
crusoe,GV13,0.0566802
wachiapp,Depend1227,0.0566038
eject5566,ccpz,0.0566038
Depend1227,laker020,0.0566038
ticketwoon,sowhat7511,0.0565453
Shigeru777,kevin31a2,0.0565131
cocoken,gogodddd,0.0564972
Puppy0919,balanceCIH,0.0564714
SeaWolf,Handway,0.0564524
doremido,Towlie,0.0564263
EZILI,kazeki,0.0563425
chehsien    ,bbbyy,0.056338
bbbyy,YSJ543,0.056338
cccooler,Xavier114,0.0562931
xul4m4vu6666,s9899653,0.0561798
GV13,EZILI,0.0561798
Vinnie0605,wty,0.0561178
cn12242,Shigeru777,0.056101
gn02519719,sowhat7511,0.0560345
cocoken,sinple,0.0559702
klm,kevin31a2,0.0559674
yfefey,gogodddd,0.0558006
ticketwoon,Cervelo1995,0.0557885
cccooler,GV13,0.0556235
vaude,Vinnie0605,0.0555556
cocoken,ko910493,0.0555556
chehsien    ,studentkeich,0.0555556
matrix4096,Shigeru777,0.0553761
thebest5566,sowhat7511,0.0552147
cocoken,moprince,0.0551471
cccooler,godswd,0.0551106
Towlie,kevin31a2,0.05507
cocoken,sowhat7511,0.0549451
jo3pcafe,GV13,0.0547945
cccooler,wty,0.0547264
q076262018,Cervelo1995,0.0546999
yofa,frice,0.0546875
kevin31a2,frice,0.0546822
ko910493,gogodddd,0.0546318
cn12242,Towlie,0.0546318
ticketwoon,DickMartin,0.0545513
cccooler,satoyama,0.0545244
studentkeich,gogodddd,0.0544747
klexwind,gogodddd,0.0544747
funkie,frice,0.0543478
vaude,msn13141314,0.0542797
devil0915,cdpicker,0.054256
sowhat7511,frice,0.0542453
msn13141314,moprince,0.0542169
yofa,sinple,0.0541237
hertzianwave,klm,0.0540541
cafeole,frice,0.0540541
matrix4096,ccpz,0.0539718
Puppy0919,Verola,0.0539697
duane,crusoe,0.0539419
duane,s9899653,0.0538308
Puppy0919,cdpicker,0.0537836
yfefey,gca00631,0.0535893
yfefey,redsuck,0.0535714
cafeole,sinple,0.0535714
NWAHSEF,frice,0.0535714
Verola,power1849e,0.0535644
GV13,Shigeru777,0.0535475
matrix4096,kuoly1,0.0535092
ko910493,redsuck,0.0534964
devil0915,gogodddd,0.0534573
doremido,gogodddd,0.0534125
Kuwano,gogodddd,0.0534125
ticketwoon,godswd,0.0533304
Xavier114,myanko,0.0533104
ko910493,funkie,0.0532544
crusoe,godswd,0.053187
klm,Cervelo1995,0.0531517
hadeshell,Towlie,0.0531265
Puppy0919,gn02519719,0.0530612
yofa,sowhat7511,0.0530303
yofa,moprince,0.0530303
nuiman,Cervelo1995,0.0530223
wty,Towlie,0.0529954
vaude,duane,0.0529172
ccpz,sowhat7511,0.0527241
wty,frice,0.0526316
vaude,thebest5566,0.0526316
vaude,sunglasses,0.0526316
vaude,sinceremusic,0.0526316
vaude,fleeaaa,0.0526316
vaude,eject5566,0.0526316
sunglasses,thebest5566,0.0526316
hertzianwave,thebest5566,0.0526316
eject5566,thebest5566,0.0526316
eject5566,Towlie,0.0526316
Allenguy,jo3pcafe,0.0526316
cp109,Vinnie0605,0.0525667
Verola,Towlie,0.0525181
cafeole,sowhat7511,0.052459
cafeole,moprince,0.0524017
Vinnie0605,gogodddd,0.0523139
ticketwoon,sinple,0.0523013
Vinnie0605,power1849e,0.0522876
Verola,balanceCIH,0.0521899
duane,Depend1227,0.0521639
matrix4096,s9899653,0.0521252
devil0915,Allenguy,0.0519654
cdpicker,redsuck,0.0519481
Puppy0919,msn13141314,0.0518018
hadeshell,fleeaaa,0.0517799
GV13,frice,0.0517799
cocoken,matrix4096,0.0517688
Towlie,Cervelo1995,0.0517518
hadeshell,balanceCIH,0.0516655
duane,EZILI,0.0516129
ps124125288,duane,0.0515759
cocoken,Depend1227,0.0515464
YSJ543,Handway,0.0515158
ko910493,Vinnie0605,0.0514512
yofa,SeaWolf,0.0513761
SeaWolf,studentkeich,0.0513761
DickMartin,Shigeru777,0.051344
ps124125288,sowhat7511,0.0513363
cp109,gca00631,0.0513049
funkie,typedevil,0.0512821
cdpicker,ticketwoon,0.0512367
gn02519719,kevin31a2,0.0511705
godswd,s9899653,0.0511628
Allenguy,ccpz,0.0511628
cdpicker,jo3pcafe,0.0511364
Xavier114,gogodddd,0.0511343
cp109,studentkeich,0.0510891
duane,studentkeich,0.0509666
sinple,frice,0.0509554
cn12242,Handway,0.0508656
jo3pcafe,SeaWolf,0.0508475
Vinnie0605,wachiapp,0.0508475
Vinnie0605,laker020,0.0508475
Vinnie0605,jo3pcafe,0.0508475
ko910493,klm,0.0507745
fkhope,Xavier114,0.0507026
Towlie,moprince,0.0505804
Puppy0919,cccooler,0.0505689
wty,gca00631,0.050501
ko910493,Puppy0919,0.0504386
jo3pcafe,bbbyy,0.0504202
EZILI,bbbyy,0.050175
Xavier114,studentkeich,0.0501592
ko910493,wty,0.0501433
hadeshell,s9899653,0.0500864
studentkeich,sowhat7511,0.0500472
yfefey,laker020,0.05
xul4m4vu6666,cccooler,0.05
sunglasses,sinple,0.05
sunglasses,gogodddd,0.05
sinceremusic,gogodddd,0.05
myanko,gogodddd,0.05
fleeaaa,sinple,0.05
fleeaaa,frice,0.05
drsharp,gogodddd,0.05
cyndimax,gogodddd,0.05
chehsien    ,redsuck,0.05
cdpicker,Shigeru777,0.05
answer1115,gogodddd,0.05
EZILI,gogodddd,0.05
cccooler,Depend1227,0.0498753
Vinnie0605,DickMartin,0.0498587
vaude,funkie,0.0498084
matrix4096,fleeaaa,0.0498084
Allenguy,frice,0.0497925
matrix4096,klm,0.0496982
Shigeru777,SeaWolf,0.0496454
Depend1227,emou        ,0.0496454
DickMartin,frice,0.0495988
bbbyy,kevin31a2,0.0495283
jiajiaWeng,kazeki,0.0495238
Puppy0919,NWAHSEF,0.0494506
devil0915,gca00631,0.0494113
Shigeru777,bbbyy,0.0493827
cn12242,ticketwoon,0.0493736
matrix4096,cafeole,0.0493573
DickMartin,jo3pcafe,0.049332
duane,Towlie,0.0492993
ko910493,Allenguy,0.0492767
hadeshell,crusoe,0.0492476
NWAHSEF,Xavier114,0.0492002
ko910493,eject5566,0.0491803
ko910493,answer1115,0.0491803
jo3pcafe,studentkeich,0.0491803
hadeshell,studentkeich,0.0491228
power1849e,kirakira520,0.0490798
kuoly1,sowhat7511,0.0488959
ps124125288,Cervelo1995,0.0488729
duane,ccpz,0.0488145
godswd,Towlie,0.0487977
funkie,DickMartin,0.0487893
fleeaaa,sowhat7511,0.0487805
Verola,klexwind,0.0486486
balanceCIH,SeaWolf,0.0486295
cafeole,DickMartin,0.0485339
satoyama,Depend1227,0.0484623
gn02519719,satoyama,0.0484623
q076262018,moprince,0.0483871
fleeaaa,moprince,0.0483871
cdpicker,frice,0.0483871
Allenguy,msn13141314,0.0483736
Verola,ccpz,0.0483611
yofa,GV13,0.0483592
studentkeich,kevin31a2,0.0482608
ticketwoon,YSJ543,0.0482264
ticketwoon,satoyama,0.0481928
Vinnie0605,frice,0.0481928
xul4m4vu6666,Xavier114,0.0481783
Puppy0919,kuoly1,0.0481203
NWAHSEF,DickMartin,0.048114
Shigeru777,studentkeich,0.0480769
cocoken,Xavier114,0.0479478
klm,sinple,0.0479452
SeaWolf,frice,0.0479452
bbbyy,frice,0.0479042
cafeole,GV13,0.0478326
ko910493,duane,0.047823
gogodddd,Handway,0.0477418
redsuck,SeaWolf,0.0476974
jo3pcafe,kirakira520,0.047619
gn02519719,Vinnie0605,0.047619
balanceCIH,Handway,0.0475297
answer1115,kazeki,0.0475285
Verola,kirakira520,0.0475126
redsuck,s9899653,0.0474777
wty,ticketwoon,0.0472103
hadeshell,Vinnie0605,0.047138
ticketwoon,s9899653,0.0471063
YSJ543,kazeki,0.0470914
Verola,klm,0.0469667
q076262018,balanceCIH,0.046875
studentkeich,Towlie,0.0468432
funkie,power1849e,0.0467836
ccpz,klm,0.0467836
cn12242,s9899653,0.046778
cp109,bbbyy,0.046748
balanceCIH,kazeki,0.0466439
gn02519719,gca00631,0.046595
studentkeich,frice,0.0465116
cn12242,fleeaaa,0.0465116
Puppy0919,hertzianwave,0.0465116
Puppy0919,EZILI,0.0465116
ko910493,Cervelo1995,0.0464376
satoyama,s9899653,0.0464208
DickMartin,studentkeich,0.0462315
cafeole,Allenguy,0.0460653
Depend1227,msn13141314,0.0460585
fkhope,kirakira520,0.0460526
BRANDIO,Xavier114,0.0459734
ko910493,kevin31a2,0.0459685
matrix4096,thebest5566,0.0458015
cp109,thebest5566,0.0456853
balanceCIH,GV13,0.0456667
crusoe,redsuck,0.0456522
hadeshell,devil0915,0.0456311
zxcvbn208,kazeki,0.0455408
ycb401,kazeki,0.0455408
wangman,kazeki,0.0455408
ticketwoon,chehsien    ,0.0454545
thebest5566,Depend1227,0.0454545
sunglasses,Depend1227,0.0454545
q076262018,Depend1227,0.0454545
gn02519719,eject5566,0.0454545
eject5566,Depend1227,0.0454545
godswd,studentkeich,0.0454179
cafeole,kevin31a2,0.0452973
Vinnie0605,yofa,0.0451613
Vinnie0605,emou        ,0.0451613
cp109,msn13141314,0.0450913
yofa,bbbyy,0.0450161
yfefey,satoyama,0.045
funkie,cdpicker,0.045
EZILI,godswd,0.0449827
kirakira520,frice,0.0449438
michael2341,Xavier114,0.0449417
gca00631,gogodddd,0.0449414
funkie,Vinnie0605,0.0449102
funkie,bbbyy,0.0447761
cafeole,cdpicker,0.0447761
jo3pcafe,Xavier114,0.044714
cafeole,Vinnie0605,0.0446927
answer1115,Handway,0.0446429
matrix4096,studentkeich,0.0446349
hadeshell,ticketwoon,0.0444535
typedevil,sinple,0.0444444
fleeaaa,GV13,0.0444444
Vinnie0605,s9899653,0.0444444
NWAHSEF,cdpicker,0.0444079
msn13141314,gogodddd,0.0444015
gn02519719,duane,0.0443812
Vinnie0605,NWAHSEF,0.044335
cccooler,Cervelo1995,0.0443027
NWAHSEF,bbbyy,0.044226
vaude,kuoly1,0.0442177
cafeole,SeaWolf,0.044164
jo3pcafe,redsuck,0.0441176
BRANDIO,studentkeich,0.0441176
cn12242,msn13141314,0.0441044
yfefey,sowhat7511,0.0440426
vaude,moprince,0.0439932
s9899653,YSJ543,0.0439845
ticketwoon,SeaWolf,0.0439315
GV13,msn13141314,0.0439276
cn12242,crusoe,0.0439024
Verola,crusoe,0.0438871
GV13,studentkeich,0.0438521
DickMartin,Towlie,0.0438318
devil0915,msn13141314,0.0437108
ko910493,vaude,0.0436242
EZILI,Cervelo1995,0.0436153
cn12242,cccooler,0.0435606
klexwind,msn13141314,0.0435459
vaude,kevin31a2,0.0435303
Vinnie0605,cdpicker,0.0435268
yofa,studentkeich,0.0434783
vaude,Handway,0.0434783
michael2341,kirakira520,0.0434783
chehsien    ,s9899653,0.0434783
s9899653,sinple,0.0433018
funkie,msn13141314,0.04329
ccpz,msn13141314,0.04329
devil0915,kevin31a2,0.0432898
cccooler,kazeki,0.0432321
balanceCIH,Xavier114,0.04315
Shigeru777,redsuck,0.0431034
Allenguy,studentkeich,0.0430939
eject5566,Handway,0.0430906
cdpicker,YSJ543,0.0430743
kuoly1,Handway,0.0430479
xul4m4vu6666,kazeki,0.0430464
cafeole,studentkeich,0.0430108
ticketwoon,kevin31a2,0.0429774
hertzianwave,Allenguy,0.0428571
fleeaaa,Allenguy,0.0428571
Allenguy,bbbyy,0.0428571
kirakira520,gogodddd,0.0427509
cp109,ticketwoon,0.0426966
NWAHSEF,studentkeich,0.042654
BRANDIO,kirakira520,0.0425532
gn02519719,ccpz,0.0424837
funkie,Depend1227,0.0424837
ccpz,Depend1227,0.0424837
cn12242,wachiapp,0.0424528
cdpicker,sinple,0.0424028
ps124125288,GV13,0.0422634
NWAHSEF,kazeki,0.0422346
vaude,satoyama,0.0422078
fleeaaa,kevin31a2,0.0421546
thebest5566,satoyama,0.0421053
satoyama,EZILI,0.0421053
cp109,typedevil,0.0421053
wty,studentkeich,0.041958
cocoken,kevin31a2,0.0419287
matrix4096,laker020,0.0419255
studentkeich,kirakira520,0.0419162
Vinnie0605,studentkeich,0.0418006
funkie,balanceCIH,0.0417827
GV13,klm,0.0417391
redsuck,frice,0.0416667
nuiman,Xavier114,0.0416667
fleeaaa,cdpicker,0.0416667
fleeaaa,bbbyy,0.0416667
cocoken,funkie,0.0416667
ccpz,kirakira520,0.0416667
Vinnie0605,freshmanxp,0.0416667
Vinnie0605,fleeaaa,0.0416667
Vinnie0605,eject5566,0.0416667
Vinnie0605,drsharp,0.0416667
kuoly1,msn13141314,0.0414776
cdpicker,kirakira520,0.0414508
studentkeich,YSJ543,0.0413625
ticketwoon,power1849e,0.0412371
s9899653,kirakira520,0.0412044
Puppy0919,DickMartin,0.0411765
fleeaaa,SeaWolf,0.0409357
SeaWolf,bbbyy,0.0409357
yfefey,answer1115,0.0409091
crusoe,sowhat7511,0.0408976
funkie,BRANDIO,0.0408163
q076262018,Xavier114,0.0407816
studentkeich,sinple,0.0407125
ko910493,cp109,0.0407023
balanceCIH,godswd,0.040695
balanceCIH,duane,0.0406449
ps124125288,kevin31a2,0.0405852
kuoly1,wachiapp,0.0405405
vaude,NWAHSEF,0.0404984
balanceCIH,gca00631,0.0404858
wty,kirakira520,0.040404
devil0915,Verola,0.0403664
kirakira520,kazeki,0.0401691
ticketwoon,wachiapp,0.04
ticketwoon,jo3pcafe,0.04
studentkeich,bbbyy,0.04
hadeshell,typedevil,0.04
funkie,ccpz,0.04
fleeaaa,studentkeich,0.04
Depend1227,kevin31a2,0.0399672
kuoly1,kirakira520,0.0399003
funkie,Handway,0.0398894
fleeaaa,DickMartin,0.039801
crusoe,power1849e,0.039801
cccooler,DickMartin,0.0397666
wachiapp,moprince,0.0397351
ko910493,wachiapp,0.0397351
thebest5566,kevin31a2,0.0397196
cocoken,hadeshell,0.0396254
chehsien    ,Xavier114,0.0395119
cn12242,gca00631,0.0394883
BRANDIO,kazeki,0.0393511
ccpz,moprince,0.0393064
godswd,klm,0.0391943
xul4m4vu6666,Puppy0919,0.0390625
ticketwoon,Shigeru777,0.0390625
yfefey,ccpz,0.0390244
jo3pcafe,kazeki,0.0390207
s9899653,kevin31a2,0.0389896
ko910493,bbbyy,0.038961
yfefey,Allenguy,0.0389076
redsuck,studentkeich,0.0388889
Depend1227,Handway,0.0388514
typedevil,Allenguy,0.038835
funkie,gca00631,0.0387722
Vinnie0605,ccpz,0.0386905
redsuck,ccpz,0.0386598
jo3pcafe,s9899653,0.0386266
GV13,Towlie,0.0386122
chehsien    ,kazeki,0.03861
funkie,kazeki,0.0385656
yfefey,doremido,0.0385233
q076262018,kirakira520,0.0384615
nuiman,kirakira520,0.0384615
myanko,kirakira520,0.0384615
jiajiaWeng,kirakira520,0.0384615
iversona,kirakira520,0.0384615
freshmanxp,kirakira520,0.0384615
drsharp,kirakira520,0.0384615
cccooler,chehsien    ,0.0384615
cafeole,redsuck,0.0384615
bbbyy,kirakira520,0.0384615
answer1115,kirakira520,0.0384615
EZILI,kirakira520,0.0384615
fkhope,moprince,0.0383562
cccooler,SeaWolf,0.0382166
Verola,gogodddd,0.0381652
doremido,redsuck,0.0381356
crusoe,kevin31a2,0.0380435
redsuck,gca00631,0.0380288
kuoly1,Depend1227,0.0380117
gn02519719,kuoly1,0.0380117
Puppy0919,ccpz,0.0379538
matrix4096,sunglasses,0.0378788
gn02519719,GV13,0.0378641
cocoken,wty,0.0377834
Shigeru777,s9899653,0.0377834
ticketwoon,frice,0.0377358
power1849e,msn13141314,0.0376766
ccpz,kevin31a2,0.0376506
cn12242,devil0915,0.0376402
devil0915,godswd,0.0374771
vaude,EZILI,0.037464
Vinnie0605,redsuck,0.0373563
Vinnie0605,kazeki,0.0373055
EZILI,kevin31a2,0.037296
cn12242,ccpz,0.0372825
ticketwoon,Depend1227,0.0372493
vaude,klm,0.0371429
ps124125288,Depend1227,0.0370899
ko910493,gn02519719,0.0370899
kuoly1,redsuck,0.037037
funkie,thebest5566,0.037037
funkie,sunglasses,0.037037
funkie,drsharp,0.037037
ccpz,EZILI,0.037037
answer1115,ccpz,0.037037
thebest5566,Handway,0.0369276
devil0915,wty,0.0369215
gn02519719,moprince,0.0368794
yfefey,sinple,0.0368239
cn12242,doremido,0.0367847
Puppy0919,gca00631,0.0367706
yfefey,Towlie,0.0367077
Verola,Depend1227,0.0366515
Puppy0919,devil0915,0.0366048
s9899653,frice,0.0365854
gca00631,Towlie,0.0365743
ticketwoon,kirakira520,0.0364963
chehsien    ,Towlie,0.0363636
cccooler,kuoly1,0.0362319
yfefey,sunglasses,0.0361991
ticketwoon,redsuck,0.0361991
sunglasses,sowhat7511,0.0361446
ko910493,kazeki,0.036084
kuoly1,DickMartin,0.0359493
SeaWolf,s9899653,0.0359023
funkie,kuoly1,0.0358852
vaude,gca00631,0.0358621
thebest5566,redsuck,0.0357143
redsuck,bbbyy,0.0357143
hertzianwave,devil0915,0.0357143
fleeaaa,redsuck,0.0357143
cccooler,YSJ543,0.0357143
BRANDIO,ticketwoon,0.0357143
cp109,s9899653,0.0356515
Allenguy,crusoe,0.0356234
yfefey,cp109,0.0355408
kuoly1,doremido,0.0354331
godswd,Depend1227,0.0354331
ps124125288,Handway,0.0353662
cp109,devil0915,0.0353394
ccpz,sinple,0.0352526
ko910493,cccooler,0.0352423
ko910493,devil0915,0.0352192
cocoken,satoyama,0.0352113
ticketwoon,yofa,0.0351759
ticketwoon,studentkeich,0.0351759
balanceCIH,Depend1227,0.0351351
funkie,ticketwoon,0.034965
ticketwoon,Allenguy,0.0348525
doremido,sinple,0.0348162
cafeole,ticketwoon,0.0347826
klexwind,moprince,0.0347395
emou        ,moprince,0.0347395
michael2341,crusoe,0.0347222
crusoe,kirakira520,0.0347222
gn02519719,NWAHSEF,0.0346667
NWAHSEF,Depend1227,0.0346667
yofa,kazeki,0.0345629
GV13,s9899653,0.034545
wachiapp,EZILI,0.0344828
power1849e,klm,0.0344828
jo3pcafe,EZILI,0.0344828
NWAHSEF,ticketwoon,0.0344828
NWAHSEF,Handway,0.0344768
ko910493,NWAHSEF,0.0344168
yofa,s9899653,0.0342577
studentkeich,s9899653,0.0342577
Xavier114,Shigeru777,0.03425
Xavier114,frice,0.0341547
devil0915,satoyama,0.0341074
cccooler,jo3pcafe,0.0340909
funkie,s9899653,0.0340651
SeaWolf,Towlie,0.0340337
cocoken,NWAHSEF,0.0340136
Allenguy,s9899653,0.0339623
cafeole,s9899653,0.0338983
bbbyy,Handway,0.0338733
yofa,Xavier114,0.0338341
q076262018,kazeki,0.0337711
Xavier114,Depend1227,0.0337362
cn12242,balanceCIH,0.0337349
NWAHSEF,s9899653,0.0336239
gn02519719,Handway,0.0336134
yao60301    ,cdpicker,0.0335196
cccooler,crusoe,0.0335008
fkhope,EZILI,0.0334928
devil0915,crusoe,0.0334758
kuoly1,ticketwoon,0.0334728
DickMartin,kirakira520,0.033389
wachiapp,klm,0.0333333
sunglasses,kuoly1,0.0333333
doremido,satoyama,0.0333333
crusoe,studentkeich,0.0333333
crusoe,Towlie,0.0330709
devil0915,Xavier114,0.0330108
thebest5566,GV13,0.032967
s9899653,Handway,0.0329412
vaude,gogodddd,0.0329114
Xavier114,laker020,0.0328992
crusoe,s9899653,0.0327044
crusoe,doremido,0.0326087
NWAHSEF,crusoe,0.0326087
Kuwano,crusoe,0.0326087
gn02519719,EZILI,0.032419
kuoly1,satoyama,0.0323887
fkhope,DickMartin,0.0323122
ticketwoon,lucaswhite,0.0322581
ticketwoon,edcqaz,0.0322581
ticketwoon,badboyman,0.0322581
ticketwoon,alice9031,0.0322581
sunglasses,ps124125288,0.0322581
gn02519719,Allenguy,0.0322581
fleeaaa,ticketwoon,0.0322581
cyndimax,ticketwoon,0.0322581
cccooler,frice,0.0322581
cocoken,duane,0.032235
DickMartin,klexwind,0.0321962
ps124125288,SeaWolf,0.0320807
cccooler,Handway,0.031977
cdpicker,Towlie,0.0319666
cdpicker,msn13141314,0.0319574
Towlie,laker020,0.0319149
ccpz,Cervelo1995,0.0319066
nuiman,kazeki,0.0318352
gca00631,moprince,0.031777
s9899653,msn13141314,0.0317719
thebest5566,moprince,0.031746
sunglasses,moprince,0.031746
myanko,moprince,0.031746
answer1115,moprince,0.031746
cccooler,ticketwoon,0.0316901
NWAHSEF,msn13141314,0.0316901
duane,thebest5566,0.0316456
cocoken,Allenguy,0.0316456
devil0915,SeaWolf,0.0316243
fleeaaa,s9899653,0.0315789
yfefey,SeaWolf,0.0315682
zxcvbn208,yfefey,0.0315315
yfefey,ycb401,0.0315315
yfefey,wangman,0.0315315
yfefey,jiajiaWeng,0.0315315
yfefey,cyndimax,0.0315315
michael2341,kazeki,0.0314465
NWAHSEF,kuoly1,0.0313726
typedevil,balanceCIH,0.03125
eject5566,gca00631,0.03125
cccooler,kirakira520,0.03125
balanceCIH,chehsien    ,0.03125
Shigeru777,kazeki,0.0312152
devil0915,kazeki,0.0310634
Vinnie0605,msn13141314,0.031051
cccooler,EZILI,0.0309598
gn02519719,Verola,0.0308389
EZILI,emou        ,0.030837
gn02519719,klm,0.0308057
cocoken,cdpicker,0.0307692
Puppy0919,typedevil,0.0307692
Puppy0919,chehsien    ,0.0307692
matrix4096,Towlie,0.0307545
cocoken,godswd,0.0307456
funkie,EZILI,0.0306748
ticketwoon,klm,0.0306122
gca00631,Depend1227,0.0305882
michael2341,DickMartin,0.0305216
thebest5566,crusoe,0.030303
sunglasses,NWAHSEF,0.030303
q076262018,crusoe,0.030303
nuiman,crusoe,0.030303
cyndimax,crusoe,0.030303
crusoe,sinceremusic,0.030303
crusoe,drsharp,0.030303
NWAHSEF,thebest5566,0.030303
NWAHSEF,EZILI,0.030303
cdpicker,gogodddd,0.0302831
