userA,userB,score
hadeshell,sowhat7511,0.139826
hadeshell,Handway,0.139693
cp109,YSJ543,0.139253
hadeshell,wty,0.138047
satoyama,kevin31a2,0.137979
gca00631,Handway,0.137961
matrix4096,moprince,0.137528
satoyama,sinple,0.137327
klexwind,kirakira520,0.137255
gca00631,kevin31a2,0.136524
thebest5566,wachiapp,0.136364
cdpicker,myanko,0.136364
power1849e,gogodddd,0.13617
satoyama,Cervelo1995,0.135693
duane,Xavier114,0.134876
redsuck,YSJ543,0.134814
kazeki,Handway,0.133889
wty,bbbyy,0.133563
kevin31a2,Handway,0.133547
vaude,Depend1227,0.133333
crusoe,myanko,0.133333
cp109,kevin31a2,0.132391
sowhat7511,Cervelo1995,0.132175
Puppy0919,sinple,0.131789
funkie,godswd,0.131749
wty,satoyama,0.131737
godswd,YSJ543,0.13165
xul4m4vu6666,cafeole,0.131579
cp109,hadeshell,0.131384
cp109,wty,0.131134
wty,Allenguy,0.130699
cdpicker,klexwind,0.130536
ticketwoon,laker020,0.130435
crusoe,moprince,0.129925
matrix4096,GV13,0.129435
Allenguy,satoyama,0.129245
Verola,DickMartin,0.129055
GV13,kevin31a2,0.128969
kazeki,kevin31a2,0.128703
cccooler,sinple,0.127907
cp109,yofa,0.127443
NWAHSEF,godswd,0.127377
cn12242,duane,0.126499
matrix4096,wty,0.126189
kuoly1,moprince,0.125843
hadeshell,moprince,0.125517
NWAHSEF,duane,0.125461
Verola,gca00631,0.125195
xul4m4vu6666,Shigeru777,0.125
thebest5566,sinple,0.125
power1849e,EZILI,0.125
hertzianwave,chehsien    ,0.125
cdpicker,kazeki,0.125
cdpicker,Cervelo1995,0.12456
godswd,sinple,0.124467
GV13,sowhat7511,0.124388
chehsien    ,godswd,0.124031
cp109,sowhat7511,0.123529
funkie,duane,0.123226
bbbyy,kazeki,0.1222
duane,sinple,0.12166
yfefey,kuoly1,0.121519
matrix4096,Handway,0.121469
wty,sowhat7511,0.121092
DickMartin,Xavier114,0.120867
funkie,NWAHSEF,0.120567
sowhat7511,Handway,0.120292
fkhope,crusoe,0.12
Allenguy,godswd,0.11984
bbbyy,Cervelo1995,0.119832
klexwind,EZILI,0.119617
nuiman,cdpicker,0.119403
sinple,Cervelo1995,0.119366
duane,moprince,0.119327
funkie,sowhat7511,0.119103
yofa,satoyama,0.119089
SeaWolf,Cervelo1995,0.119014
funkie,matrix4096,0.119013
Xavier114,msn13141314,0.11883
sunglasses,Kuwano,0.118421
NWAHSEF,fleeaaa,0.118421
Janel,DickMartin,0.118251
cn12242,satoyama,0.117885
wty,kevin31a2,0.117792
chehsien    ,yofa,0.117647
hadeshell,satoyama,0.117573
wty,duane,0.117515
Verola,moprince,0.117505
cdpicker,Xavier114,0.117374
wty,kazeki,0.117015
matrix4096,gca00631,0.11696
DickMartin,kevin31a2,0.116785
michael2341,cdpicker,0.116667
funkie,sinple,0.116603
hadeshell,gca00631,0.116461
cn12242,matrix4096,0.116411
satoyama,moprince,0.116279
Xavier114,sowhat7511,0.116204
hadeshell,GV13,0.116123
duane,chehsien    ,0.115663
SeaWolf,sowhat7511,0.115554
duane,DickMartin,0.115455
funkie,Allenguy,0.115132
fleeaaa,YSJ543,0.114865
moprince,Cervelo1995,0.11471
sinple,kevin31a2,0.114622
yfefey,wty,0.114504
GV13,godswd,0.114283
BRANDIO,cdpicker,0.11413
cp109,Towlie,0.113924
BRANDIO,moprince,0.113924
yfefey,s9899653,0.113899
ticketwoon,emou        ,0.113514
cp109,fleeaaa,0.113514
YSJ543,Cervelo1995,0.113211
hadeshell,Allenguy,0.113161
godswd,Handway,0.112457
fleeaaa,satoyama,0.11236
Xavier114,moprince,0.112341
Verola,sinple,0.111942
yfefey,BRANDIO,0.111702
duane,Handway,0.111347
funkie,moprince,0.111248
DickMartin,kazeki,0.111194
zxcvbn208,bbbyy,0.111111
ycb401,bbbyy,0.111111
wangman,bbbyy,0.111111
sunglasses,sinceremusic,0.111111
sunglasses,myanko,0.111111
sunglasses,cyndimax,0.111111
jiajiaWeng,iversona,0.111111
jiajiaWeng,bbbyy,0.111111
gn02519719,Depend1227,0.111111
fleeaaa,sinceremusic,0.111111
answer1115,iversona,0.111111
answer1115,bbbyy,0.111111
s9899653,Cervelo1995,0.110719
Puppy0919,cp109,0.110497
cp109,Verola,0.110216
funkie,kevin31a2,0.110097
Verola,Allenguy,0.109948
duane,kazeki,0.109807
duane,jo3pcafe,0.109705
hadeshell,kazeki,0.109061
Allenguy,Cervelo1995,0.10867
gca00631,Cervelo1995,0.108453
michael2341,yfefey,0.108108
funkie,chehsien    ,0.108108
msn13141314,Handway,0.107736
hadeshell,sinple,0.107522
sowhat7511,moprince,0.107458
sinple,moprince,0.107375
gca00631,godswd,0.107232
power1849e,wachiapp,0.107143
crusoe,klexwind,0.107143
Puppy0919,satoyama,0.107072
ps124125288,klm,0.106981
kuoly1,cdpicker,0.10687
matrix4096,DickMartin,0.10654
matrix4096,Allenguy,0.106395
funkie,crusoe,0.106383
yfefey,q076262018,0.10628
crusoe,gogodddd,0.106181
fkhope,ticketwoon,0.105882
Xavier114,gca00631,0.105635
xul4m4vu6666,Cervelo1995,0.105592
cdpicker,moprince,0.105505
cn12242,Verola,0.10548
hadeshell,redsuck,0.105463
jo3pcafe,chehsien    ,0.105263
Puppy0919,sowhat7511,0.105263
msn13141314,Cervelo1995,0.105251
Verola,msn13141314,0.105014
Vinnie0605,Shigeru777,0.104712
matrix4096,cp109,0.104484
cn12242,Cervelo1995,0.104417
SeaWolf,kevin31a2,0.104191
Allenguy,GV13,0.103883
duane,Allenguy,0.103827
zxcvbn208,ticketwoon,0.103448
ycb401,ticketwoon,0.103448
wachiapp,emou        ,0.103448
ticketwoon,wangman,0.103448
ticketwoon,myanko,0.103448
jiajiaWeng,ticketwoon,0.103448
answer1115,ticketwoon,0.103448
Allenguy,chehsien    ,0.103093
Towlie,Handway,0.103043
q076262018,cdpicker,0.102941
xul4m4vu6666,wty,0.102881
xul4m4vu6666,Verola,0.102708
cn12242,wty,0.102674
duane,msn13141314,0.102656
ko910493,Handway,0.10261
chehsien    ,Cervelo1995,0.102545
klm,Towlie,0.102489
GV13,Cervelo1995,0.102336
redsuck,godswd,0.102285
GV13,moprince,0.102123
godswd,moprince,0.101604
ko910493,crusoe,0.101449
hadeshell,SeaWolf,0.101252
ko910493,Towlie,0.101222
godswd,kazeki,0.100867
GV13,satoyama,0.100858
SeaWolf,sinple,0.100708
Vinnie0605,sowhat7511,0.100616
moprince,kazeki,0.100516
cp109,SeaWolf,0.100487
Verola,GV13,0.100437
gunagulu,iversona,0.1
cafeole,chehsien    ,0.1
Vinnie0605,Depend1227,0.1
BRANDIO,lucaswhite,0.1
BRANDIO,edcqaz,0.1
BRANDIO,drsharp,0.1
BRANDIO,cyndimax,0.1
BRANDIO,badboyman,0.1
BRANDIO,alice9031,0.1
cn12242,sowhat7511,0.0999571
Xavier114,satoyama,0.0998831
msn13141314,kevin31a2,0.0998709
bbbyy,laker020,0.0997067
yfefey,Verola,0.0997043
wty,GV13,0.0995406
cn12242,sinple,0.0994175
cn12242,godswd,0.0993377
wty,DickMartin,0.0992875
wty,moprince,0.0992593
Vinnie0605,sinple,0.099162
wty,s9899653,0.0987292
sowhat7511,kazeki,0.098602
matrix4096,yfefey,0.098487
Puppy0919,Allenguy,0.0984595
crusoe,Handway,0.0982486
NWAHSEF,cccooler,0.0982456
satoyama,Handway,0.0978752
myanko,kazeki,0.0976096
Depend1227,moprince,0.0975976
Puppy0919,thebest5566,0.097561
ticketwoon,kazeki,0.0971873
duane,GV13,0.0971254
GV13,kazeki,0.0968553
crusoe,bbbyy,0.0967742
answer1115,crusoe,0.0967742
Verola,YSJ543,0.0965454
crusoe,Cervelo1995,0.0964712
ko910493,ticketwoon,0.0964247
cp109,GV13,0.09642
cp109,Xavier114,0.0963088
Verola,SeaWolf,0.09618
xul4m4vu6666,frice,0.0961538
SeaWolf,godswd,0.0960639
ticketwoon,klexwind,0.0957447
Xavier114,bbbyy,0.0957066
yfefey,nuiman,0.0956938
funkie,Cervelo1995,0.0956928
NWAHSEF,sowhat7511,0.0955606
funkie,Verola,0.095452
ko910493,ccpz,0.0953846
ko910493,moprince,0.0952381
gn02519719,sunglasses,0.0952381
duane,yofa,0.0952381
xul4m4vu6666,moprince,0.0949367
Allenguy,sinple,0.0948522
GV13,sinple,0.0947797
yofa,godswd,0.0945414
cn12242,kevin31a2,0.0942618
klm,sowhat7511,0.0941645
ps124125288,chehsien    ,0.0941176
power1849e,laker020,0.0941176
Xavier114,s9899653,0.0940093
cdpicker,Allenguy,0.0939382
cp109,sinple,0.0939031
redsuck,satoyama,0.0938462
yfefey,Handway,0.0936139
moprince,kevin31a2,0.0929166
cdpicker,DickMartin,0.0927292
Allenguy,gca00631,0.0925202
satoyama,msn13141314,0.0924855
wty,redsuck,0.0921053
power1849e,studentkeich,0.0921053
power1849e,emou        ,0.0921053
klexwind,power1849e,0.0921053
yfefey,godswd,0.0917723
cafeole,satoyama,0.091716
matrix4096,bbbyy,0.0916335
crusoe,Xavier114,0.0913703
xul4m4vu6666,hadeshell,0.0912409
fkhope,kazeki,0.0911824
Puppy0919,redsuck,0.0910615
zxcvbn208,fkhope,0.0909091
wachiapp,laker020,0.0909091
klexwind,studentkeich,0.0909091
fkhope,ycb401,0.0909091
fkhope,wangman,0.0909091
fkhope,jiajiaWeng,0.0909091
fkhope,answer1115,0.0909091
drsharp,freshmanxp,0.0909091
chehsien    ,Shigeru777,0.0909091
answer1115,eject5566,0.0909091
Allenguy,Xavier114,0.0908868
wty,Handway,0.0908598
gca00631,msn13141314,0.0907011
funkie,hadeshell,0.0906673
wty,sinple,0.0903614
ccpz,Handway,0.0903413
Janel,redsuck,0.0901382
GV13,gca00631,0.0899808
moprince,Handway,0.0899371
vaude,crusoe,0.0896552
NWAHSEF,moprince,0.0896414
wty,yofa,0.0895795
klm,moprince,0.0894454
redsuck,moprince,0.0894118
cdpicker,crusoe,0.0894097
redsuck,sinple,0.089172
NWAHSEF,yofa,0.0891089
funkie,wty,0.0890585
DickMartin,satoyama,0.0890378
hadeshell,cdpicker,0.0887968
funkie,gn02519719,0.0887372
duane,Shigeru777,0.0885206
redsuck,sowhat7511,0.0885111
xul4m4vu6666,sowhat7511,0.0884956
gca00631,sowhat7511,0.0883844
cn12242,Puppy0919,0.0883145
duane,SeaWolf,0.0880226
cn12242,Allenguy,0.0879707
NWAHSEF,wty,0.0878661
jo3pcafe,godswd,0.0875553
fkhope,laker020,0.0875
NWAHSEF,sinple,0.0873984
funkie,GV13,0.0872818
funkie,YSJ543,0.0872642
Depend1227,sinple,0.087218
cdpicker,satoyama,0.0872127
xul4m4vu6666,sinple,0.0872093
YSJ543,kevin31a2,0.0872081
funkie,studentkeich,0.0870871
SeaWolf,gca00631,0.0867824
gca00631,kazeki,0.0866466
crusoe,sinple,0.086558
cccooler,sowhat7511,0.0865385
Xavier114,redsuck,0.0863738
fleeaaa,godswd,0.0863309
Vinnie0605,moprince,0.0861373
matrix4096,NWAHSEF,0.0860896
NWAHSEF,GV13,0.0860656
Allenguy,klm,0.0860465
Xavier114,SeaWolf,0.0857034
yfefey,moprince,0.0855882
DickMartin,sowhat7511,0.0855073
hadeshell,NWAHSEF,0.0854769
xul4m4vu6666,cn12242,0.0854701
Allenguy,SeaWolf,0.0854254
ko910493,power1849e,0.0853333
klexwind,kazeki,0.0853138
cn12242,Vinnie0605,0.0851888
hadeshell,DickMartin,0.0850178
xul4m4vu6666,matrix4096,0.0849858
redsuck,Cervelo1995,0.0849537
duane,redsuck,0.0849475
cafeole,duane,0.0847534
hertzianwave,ps124125288,0.0847458
YSJ543,sowhat7511,0.0846419
yofa,Cervelo1995,0.0846011
Verola,redsuck,0.0845298
satoyama,gca00631,0.0841613
cn12242,hadeshell,0.0839014
cn12242,moprince,0.0838977
ko910493,Xavier114,0.0838463
funkie,yofa,0.0838323
cdpicker,godswd,0.0836227
zxcvbn208,klexwind,0.0833333
ycb401,klexwind,0.0833333
wangman,klexwind,0.0833333
power1849e,drsharp,0.0833333
klexwind,drsharp,0.0833333
iversona,klexwind,0.0833333
fleeaaa,yofa,0.0833333
eject5566,power1849e,0.0833333
answer1115,power1849e,0.0833333
Puppy0919,Towlie,0.0833333
EZILI,moprince,0.0833333
EZILI,klm,0.0833333
Vinnie0605,GV13,0.0832562
godswd,msn13141314,0.083095
fkhope,wty,0.083004
matrix4096,ticketwoon,0.0828121
Xavier114,sinple,0.0827082
DickMartin,godswd,0.0826971
GV13,Handway,0.0825107
cp109,jo3pcafe,0.0824964
satoyama,klm,0.0824742
Verola,studentkeich,0.0822873
SeaWolf,kazeki,0.082146
cp109,DickMartin,0.0821042
cp109,moprince,0.0819321
DickMartin,Handway,0.0819153
matrix4096,redsuck,0.0818274
Puppy0919,Depend1227,0.081761
ps124125288,Allenguy,0.0815471
DickMartin,s9899653,0.0814059
cafeole,godswd,0.0813282
xul4m4vu6666,GV13,0.0813008
msn13141314,kazeki,0.0812752
cn12242,redsuck,0.0811037
cafeole,cp109,0.0811001
thebest5566,Towlie,0.0810811
hertzianwave,Towlie,0.0810811
EZILI,Towlie,0.0810811
matrix4096,cdpicker,0.0809236
Verola,bbbyy,0.0808174
Allenguy,DickMartin,0.0807511
matrix4096,YSJ543,0.080608
DickMartin,moprince,0.0805483
duane,gca00631,0.0802977
wty,msn13141314,0.0802721
Allenguy,redsuck,0.0801644
Allenguy,yofa,0.0800915
hadeshell,YSJ543,0.0800048
jo3pcafe,satoyama,0.08
crusoe,laker020,0.08
chehsien    ,klm,0.08
NWAHSEF,kevin31a2,0.0799656
GV13,redsuck,0.079936
satoyama,bbbyy,0.0798429
matrix4096,cccooler,0.0796821
cccooler,Allenguy,0.079582
cn12242,DickMartin,0.0795547
cp109,klm,0.079536
fleeaaa,duane,0.0794702
wty,chehsien    ,0.0793651
cocoken,Handway,0.0792284
NWAHSEF,Verola,0.0791629
jo3pcafe,Shigeru777,0.0789474
klexwind,Cervelo1995,0.0788567
matrix4096,SeaWolf,0.0788118
chehsien    ,GV13,0.0787402
laker020,emou        ,0.0786517
klexwind,laker020,0.0786517
jo3pcafe,yofa,0.0786517
crusoe,msn13141314,0.0786517
devil0915,Handway,0.0784836
Puppy0919,kevin31a2,0.0784166
yfefey,DickMartin,0.0783678
Vinnie0605,godswd,0.0783582
matrix4096,msn13141314,0.0781811
cdpicker,SeaWolf,0.0781759
funkie,jo3pcafe,0.078125
ps124125288,crusoe,0.0780142
DickMartin,GV13,0.0779034
Puppy0919,hadeshell,0.0778894
cafeole,yofa,0.0777778
devil0915,power1849e,0.0776699
cafeole,jo3pcafe,0.0776699
Verola,chehsien    ,0.0776014
cocoken,kuoly1,0.0775194
gn02519719,sinple,0.0774963
Puppy0919,yofa,0.0774908
DickMartin,SeaWolf,0.0773479
xul4m4vu6666,Allenguy,0.0773196
vaude,sinple,0.0773196
funkie,cafeole,0.0773196
DickMartin,bbbyy,0.0773196
cn12242,kazeki,0.0771618
funkie,Puppy0919,0.0770548
matrix4096,Puppy0919,0.0770443
ko910493,Depend1227,0.077037
xul4m4vu6666,SeaWolf,0.0769231
funkie,fleeaaa,0.0769231
eject5566,gogodddd,0.0769231
doremido,wachiapp,0.0769231
chehsien    ,sowhat7511,0.0769231
Vinnie0605,Allenguy,0.0769231
NWAHSEF,jo3pcafe,0.0769231
Vinnie0605,Verola,0.0768283
jo3pcafe,Cervelo1995,0.0766351
ko910493,matrix4096,0.0764844
cafeole,NWAHSEF,0.0762712
cp109,Handway,0.0761609
jo3pcafe,sowhat7511,0.0761421
satoyama,Towlie,0.0760331
DickMartin,sinple,0.0759722
Xavier114,kirakira520,0.0758729
cn12242,GV13,0.0758585
xul4m4vu6666,kevin31a2,0.0758214
wty,klexwind,0.0758123
cccooler,kevin31a2,0.0758014
chehsien    ,kevin31a2,0.0757825
cp109,redsuck,0.0756987
Puppy0919,kazeki,0.0755996
cn12242,Xavier114,0.0755733
typedevil,Towlie,0.0754717
cocoken,power1849e,0.0754717
Allenguy,Towlie,0.0751488
xul4m4vu6666,cdpicker,0.075
DickMartin,chehsien    ,0.0748663
NWAHSEF,Cervelo1995,0.0748321
Verola,yofa,0.0747922
GV13,Xavier114,0.0747618
vaude,sowhat7511,0.074665
Puppy0919,Vinnie0605,0.0745698
Shigeru777,sowhat7511,0.0744048
redsuck,kevin31a2,0.0742541
jo3pcafe,YSJ543,0.0742358
xul4m4vu6666,DickMartin,0.0742115
Puppy0919,godswd,0.0741797
cafeole,YSJ543,0.073913
gn02519719,crusoe,0.0736544
crusoe,Depend1227,0.0736544
ccpz,Towlie,0.0736434
xul4m4vu6666,Vinnie0605,0.0735294
msn13141314,sinple,0.0735149
ticketwoon,crusoe,0.0731707
ps124125288,sinple,0.0730277
funkie,cccooler,0.0729167
Puppy0919,moprince,0.0729013
cdpicker,sowhat7511,0.072861
cn12242,jo3pcafe,0.0728155
ko910493,satoyama,0.0727459
ko910493,emou        ,0.0727273
Shigeru777,Cervelo1995,0.0727261
GV13,SeaWolf,0.0726966
satoyama,kazeki,0.0726755
Puppy0919,GV13,0.0726626
xul4m4vu6666,studentkeich,0.0724638
YSJ543,sinple,0.0724608
kuoly1,wty,0.0722892
hertzianwave,yofa,0.0721649
EZILI,msn13141314,0.0721649
Shigeru777,godswd,0.072099
Verola,cdpicker,0.0719656
cocoken,crusoe,0.0719424
Puppy0919,Handway,0.071919
cp109,Shigeru777,0.071875
power1849e,ccpz,0.0718563
crusoe,klm,0.0717949
Xavier114,YSJ543,0.0716753
cdpicker,kevin31a2,0.0716589
Allenguy,Handway,0.0715847
Puppy0919,duane,0.0715438
zxcvbn208,laker020,0.0714286
ycb401,laker020,0.0714286
xul4m4vu6666,bbbyy,0.0714286
wangman,laker020,0.0714286
myanko,laker020,0.0714286
jo3pcafe,freshmanxp,0.0714286
jiajiaWeng,laker020,0.0714286
fleeaaa,jo3pcafe,0.0714286
chehsien    ,frice,0.0714286
cafeole,fleeaaa,0.0714286
answer1115,laker020,0.0714286
EZILI,laker020,0.0714286
Xavier114,Towlie,0.0712421
klexwind,Xavier114,0.0710516
duane,klm,0.070829
Xavier114,EZILI,0.0708042
gn02519719,msn13141314,0.0707162
Vinnie0605,duane,0.0705976
wty,jo3pcafe,0.0704225
cn12242,bbbyy,0.0704091
cccooler,moprince,0.0703971
kuoly1,sinple,0.0701754
BRANDIO,crusoe,0.0701754
matrix4096,crusoe,0.0701507
Verola,Shigeru777,0.0699726
Verola,s9899653,0.0699155
Vinnie0605,ticketwoon,0.0698925
ccpz,gca00631,0.0698835
Allenguy,Shigeru777,0.069808
cp109,cdpicker,0.0697837
wty,myanko,0.0697674
wty,EZILI,0.0697674
nuiman,wty,0.0697674
fleeaaa,wty,0.0697674
chehsien    ,moprince,0.0697674
Shigeru777,satoyama,0.0697674
kuoly1,Cervelo1995,0.0696694
studentkeich,Cervelo1995,0.0696395
ko910493,sinple,0.0696068
Vinnie0605,satoyama,0.0693842
yfefey,duane,0.0693747
Allenguy,moprince,0.0693114
s9899653,moprince,0.0691995
BRANDIO,Cervelo1995,0.0691966
ko910493,hadeshell,0.0691412
